state_name,hispanic,white,black,aian,asian,nhpi,other,state,state_weight,pec
New Mexico,0.4912202861856732,0.3756287799082009,0.018627096034270357,0.09165814200427165,0.017135664838622673,7.05137394879371e-4,0.005024893634081803,NM,0.012040714056210402,-1.3453455879926248
New York,0.20266686488297314,0.5440805071681786,0.1416306501272407,0.002818627664870571,0.09837214858297072,3.12981220818749e-4,0.010118220352947542,NY,0.06147774073757745,1.0762764703941
North Carolina,0.11149684501474452,0.6291678025543893,0.21006914005283808,0.010055883184060659,0.033895620598383164,6.95736421552479e-4,0.004618972174031788,NC,0.03174702680711576,0.269069117598525
North Dakota,0.04461798554041819,0.8495204621510964,0.034923068294415674,0.049876743682946825,0.017426814057897085,0.001160452215809392,0.0024744740574163446,ND,0.0023692881329119143,-0.20180183819889375
Ohio,0.046142083572094816,0.7925495973317486,0.12897811148032473,0.0016772164279228875,0.026253053004783374,3.976850182414657e-4,0.004002253164884121,OH,0.03588307973275526,-0.06726727939963124
Oklahoma,0.13161570181784513,0.6713348731647104,0.0789926803161693,0.08698225215119947,0.025003109596689492,0.002277953879800562,0.0037934290735856077,OK,0.005454836043679232,-1.4126128673922562
Oregon,0.1479820267126061,0.7631277662256122,0.019770415056059074,0.010567110653548723,0.048207509681239824,0.004573752736849487,0.005771418934084625,OR,0.012885839650812107,0.9417419115948374
Pennsylvania,0.08362523269288762,0.7611426281419267,0.1090696148601572,0.001197315203106582,0.04036787884075222,2.519237870789867e-4,0.00434540647409077,PA,0.03893188834128984,0.7399400733959437
Rhode Island,0.17423782135985127,0.7214898830670664,0.05299441504350181,0.0033613075515079955,0.03671030083367699,3.0618229902720144e-4,0.01090008984536837,RI,0.0033372186693861636,1.4798801467918874
South Carolina,0.07158634527967506,0.6448877982569953,0.25747025925952227,0.003366103011963249,0.01813690631375099,6.259072865955411e-4,0.003926680591497603,SC,0.015565546149373074,-0.807207352795575
South Dakota,0.04545811894606534,0.8279207026231028,0.020465012584557078,0.0875286746026624,0.01564357248880884,5.784789406677736e-4,0.0024054398141357724,SD,0.00269642636311486,0.06726727939963124
Tennessee,0.07216001163747285,0.7379202866239688,0.16320350955340446,0.0023399934072391164,0.020224325540834535,5.412147696516754e-4,0.003610658467428554,TN,0.02101642574638359,-0.53813823519705
Texas,0.4048816659654253,0.40993768093530614,0.12189610469574559,0.003022886889712135,0.055256567635346955,9.857601414891535e-4,0.004019333736974693,TX,0.009158289083447466,-1.0090091909944687
Utah,0.15642219827339993,0.7823632790930589,0.011802622776853252,0.009104572151750909,0.024948876034379678,0.011370718883561757,0.0039877327869955355,UT,0.00994924998041924,-0.1345345587992625
Vermont,0.025270240315030446,0.9342703185510686,0.014097156120014083,0.003237016077505835,0.018673964350445292,2.770859683665619e-4,0.004174218617569206,VT,0.0019569448890547425,1.4126128673922562
Virginia,0.11046628310056679,0.6148876743561009,0.19183045780317057,0.0023193386529820822,0.07422515794416643,7.530557104415094e-4,0.005518032432571732,VA,0.026248767164679703,0.3363363969981562
Washington,0.14723219519368955,0.6837233553238339,0.0411680740800151,0.012675685732621999,0.10050670216579627,0.00868620369807929,0.006007783805963915,WA,0.023711599184035332,1.2108110291933625
West Virginia,0.020229660991844124,0.9287010021602237,0.037610196673871284,0.0018512053745946314,0.008656577878124816,2.4918955309102505e-4,0.002702167368250463,WV,0.009005489957490702,-1.4798801467918874
Wisconsin,0.07861022866193366,0.8144184189307083,0.06441297074924095,0.008503381035969948,0.030627039992463936,3.3251481729611323e-4,0.003095445812387126,WI,0.01792327513256339,0.6726727939963124
Wyoming,0.1067397957615736,0.8490302380612353,0.008559647273838211,0.02129698089399957,0.009105584650121028,8.839846920605882e-4,0.004383768667171628,WY,0.0064395563895754595,-1.2780783085929937
